"Airport ID","Name","City","Country","IATA","ICAO","Latitude","Longitude","Altitude","Timezone","DST","Tz database time zone","Type","Source","Change","Percentage","Increase/Decrease"
31,"Brandon Municipal Airport","Brandon","Canada","YBR","CYBR",49.91,-99.951897,1343,"-6","A","America/Winnipeg","airport","OurAirports",149.861897,1002.5216126968544,"Increase"
32,"Cambridge Bay Airport","Cambridge Bay","Canada","YCB","CYCB",69.1081008911,-105.13800048799999,90,"-7","A","America/Edmonton","airport","OurAirports",174.24610137909997,1053.9013605406578,"Increase"
33,"Nanaimo Airport","Nanaimo","Canada","YCD","CYCD",49.054970224899996,-123.869862556,92,"-8","A","America/Vancouver","airport","OurAirports",172.9248327809,1242.2237491507003,"Increase"
34,"Castlegar/West Kootenay Regional Airport","Castlegar","Canada","YCG","CYCG",49.296398162799996,-117.63200378399999,1624,"-8","A","America/Vancouver","airport","OurAirports",166.9284019468,1179.706256877657,"Increase"
35,"Miramichi Airport","Chatham","Canada","YCH","CYCH",47.007801,-65.449203,108,"-4","A","America/Halifax","airport","OurAirports",112.457004,656.8843351410127,"Increase"
36,"Charlo Airport","Charlo","Canada","YCL","CYCL",47.990798999999996,-66.330299,132,"-4","A","America/Halifax","airport","OurAirports",114.32109799999999,665.6851361693105,"Increase"
37,"Kugluktuk Airport","Coppermine","Canada","YCO","CYCO",67.816704,-115.143997,74,"-7","A","America/Edmonton","airport","OurAirports",182.960701,1154.1378407340303,"Increase"
38,"Coronation Airport","Coronation","Canada","YCT","CYCT",52.0750007629,-111.444999695,2595,"-7","A","America/Edmonton","airport","OurAirports",163.5200004579,1117.5900833266169,"Increase"
39,"Chilliwack Airport","Chilliwack","Canada","YCW","CYCW",49.1528015137,-121.93900299100001,32,"-8","A","America/Vancouver","airport","OurAirports",171.0918045047,1222.8708448225948,"Increase"
40,"Clyde River Airport","Clyde River","Canada","YCY","CYCY",70.4860992432,-68.5167007446,87,"-5","A","America/Toronto","airport","OurAirports",139.00279998780002,687.1390672064388,"Increase"
41,"Coral Harbour Airport","Coral Harbour","Canada","YZS","CYZS",64.1932983398,-83.3593978882,210,"-5","A","America/Coral_Harbour","airport","OurAirports",147.552696228,835.8925474248865,"Increase"
42,"Dawson City Airport","Dawson","Canada","YDA","CYDA",64.04309844970703,-139.12800598144528,1215,"-8","A","America/Vancouver","airport","OurAirports",203.17110443115232,1394.4524719767205,"Increase"
43,"Burwash Airport","Burwash","Canada","YDB","CYDB",61.37110137939453,-139.04100036621094,2647,"-8","A","America/Vancouver","airport","OurAirports",200.41210174560547,1393.6755813891027,"Increase"
44,"Princeton Airport","Princeton","Canada","\N","CYDC",49.468101501499994,-120.51100158700001,2298,"-8","A","America/Vancouver","airport","OurAirports",169.9791030885,1208.5461514387634,"Increase"
45,"Deer Lake Airport","Deer Lake","Canada","YDF","CYDF",49.21080017089844,-57.39139938354492,72,"-3.5","A","America/St_Johns","airport","OurAirports",106.60219955444336,576.0802296857959,"Increase"
46,"Dease Lake Airport","Dease Lake","Canada","YDL","CYDL",58.4221992493,-130.031997681,2600,"-8","A","America/Vancouver","airport","OurAirports",188.45419693030001,1303.5457060593583,"Increase"
47,"Dauphin Barker Airport","Dauphin","Canada","YDN","CYDN",51.10079956054688,-100.052001953125,999,"-6","A","America/Winnipeg","airport","OurAirports",151.15280151367188,1003.4779537086708,"Increase"
48,"Dawson Creek Airport","Dawson Creek","Canada","YDQ","CYDQ",55.7422981262207,-120.18299865722656,2148,"-7","A","America/Dawson_Creek","airport","OurAirports",175.92529678344727,1204.9860332853934,"Increase"
49,"Edmonton International Airport","Edmonton","Canada","YEG","CYEG",53.309700012200004,-113.580001831,2373,"-7","A","America/Edmonton","airport","OurAirports",166.88970184320002,1138.9305874522952,"Increase"
50,"Arviat Airport","Eskimo Point","Canada","YEK","CYEK",61.0942001343,-94.0708007812,32,"-6","A","America/Winnipeg","airport","OurAirports",155.1650009155,943.2477742804112,"Increase"
51,"Estevan Airport","Estevan","Canada","YEN","CYEN",49.210300445600005,-102.96600341799999,1905,"-6","N","America/Regina","airport","OurAirports",152.1763038636,1032.7524010724114,"Increase"
52,"Edson Airport","Edson","Canada","YET","CYET",53.5788993835,-116.46499633799999,3043,"-7","A","America/Edmonton","airport","OurAirports",170.0438957215,1167.8236735098849,"Increase"
53,"Eureka Airport","Eureka","Canada","YEU","CYEU",79.9946975708,-85.814201355,256,"-6","A","America/Winnipeg","airport","OurAirports",165.8088989258,860.2147621691075,"Increase"
54,"Inuvik Mike Zubko Airport","Inuvik","Canada","YEV","CYEV",68.30419921880001,-133.483001709,224,"-7","A","America/Edmonton","airport","OurAirports",201.78720092780003,1337.78426006826,"Increase"
55,"Iqaluit Airport","Iqaluit","Canada","YFB","CYFB",63.756402,-68.555801,110,"-5","A","America/Toronto","airport","OurAirports",132.312203,687.6332871306009,"Increase"
56,"Fredericton Airport","Fredericton","Canada","YFC","CYFC",45.86890029907226,-66.53720092773439,68,"-4","A","America/Halifax","airport","OurAirports",112.40610122680664,667.8226043536134,"Increase"
57,"Forestville Airport","Forestville","Canada","YFE","CYFE",48.74610137939453,-69.09719848632811,293,"-5","A","America/Toronto","airport","OurAirports",117.84329986572264,693.3894766530047,"Increase"
58,"Flin Flon Airport","Flin Flon","Canada","YFO","CYFO",54.6781005859375,-101.68199920654295,997,"-6","A","America/Winnipeg","airport","OurAirports",156.36009979248047,1019.6796396778541,"Increase"
59,"Fort Resolution Airport","Fort Resolution","Canada","YFR","CYFR",61.1808013916,-113.690002441,526,"-7","A","America/Edmonton","airport","OurAirports",174.87080383260002,1139.7582871305765,"Increase"
